DESCRIPTION1,DESCRIPTION2,DESCRIPTION3,ID,SHM_KRN,SHM_HEVRA_MENAHELET,TAARICH_HAFAKAT_HADOCH,SUG_KRN,SHM_TAAGID_SHOLET,SUG_TAAGID_SHOLET,MI_TKUFAT_DIVUACH,AD_TKUFAT_DIVUACH,HAFKADOT_LLO_HAAVAROT,MSHICHOT_LLO_HAAVAROT,HAAVAROT_BEIN_HAKRANOT,TZVIRA_NETO,YITRAT_NCHASIM_LSOF_TKUFA,SHIUR_DMEI_NIHUL_AHARON,TSUA_MEMUZAAT_LETKUFA,TSUA_MITZTABERET_LETKUFA,TSUA_MEMUZAAT_36_HODASHIM,TSUA_MEMUZAAT_60_HODASHIM,TSUA_MITZTABERET_36_HODASHIM,TSUA_MITZTABERET_60_HODASHIM,TSUA_SHNATIT_MEMUZAAT_3_SHANIM,TSUA_SHNATIT_MEMUZAAT_5_SHANIM,STIAT_TEKEN_36_HODASHIM,STIAT_TEKEN_60_HODASHIM,MATZAV_DIVUACH,ALPHA_SHNATI,BETA_TA100,BETA_AGACH_KONTZERNIOT_TZMUDOT,BETA_AGACH_MEM_LO_TZMUDOT,BETA_AGACH_MEMSHALTIOT_TZMUDOT,BETA_HUTZ_LAARETZ,R_SQUARED,SHARP_TSUA_HETZYONIT_ANAF,SHARP_TSUA_HETZYONIT_ALL,SHARP_RIBIT_HASRAT_SIKUN,YAHAS_NEZILUT,SHIUR_D_NIHUL_AHARON_HAFKADOT,SHIUR_D_NIHUL_AHARON_NCHASIM,ODEF_GIRAON_ACTUARI_AHARON,YR_ODEF_GIRAON_ACTUARI_AHARON,ODEF_GIRAON_ACTUARI_LETKUFA,TSUA_MEMUZAT_HASHKAOT_HOFSHIOT,NUM_HEVRA,TAARICH_SIUM_PEILUT,ID_MASLUL_RISHUY
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,1589,מיטב פנסיה מקיפה עוקב מדדי מניות,"מיטב גמל ופנסיה בע""מ",19/12/2024,קרנות חדשות,"מיטב דש השקעות בע""מ",ישראלית,202312,202411,134.59,7.22,1121.87,1249.24,1894.42,,1.75,23.09,1.05,0.96,45.57,77.01,13.33,12.1,3.39,3.41,דווח,6,0.2,0.53,0.32,0.02,0.65,0.73,0.8,0.81,1.07,96.3,,,0.03,2023,-0.06,2.11,512065202,,1589
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,2002,כלל פנסיה כללי,"כלל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,אחר,אחר,202312,202411,3037.23,1964.73,-6490.78,-5418.28,53743.99,,1.18,15.14,0.5,0.65,19.68,47.17,6.17,8.03,1.58,2.01,דווח,2.64,0.29,0.05,-0.07,0.09,0.35,0.92,-0.06,0.02,0.97,76.4,,,-0.17,2023,-0.26,1.36,512244146,,2002
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,2004,כלל פנסיה הלכה,"כלל פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,אחר,אחר,202312,202411,80.6,29.62,-67.57,-16.59,782.42,,1.16,14.85,0.52,0.51,20.68,35.96,6.47,6.34,1.56,1.91,דווח,1.2,0.26,0.12,-0.07,0.07,0.34,0.95,-1.05,-1,0.85,96.3,,,-0.17,2023,-0.26,1.33,512244146,,2004
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,2009,מנורה מבטחים פנסיה - כללי,"מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,5627.06,4280.4,-9143.04,-7796.38,102997.92,,1.15,14.67,0.55,0.63,21.85,46.11,6.81,7.88,1.59,1.99,דווח,2.28,0.3,0.06,-0.14,0.09,0.34,0.94,0.01,0.12,0.99,79.6,,,-0.19,2023,-0.22,1.36,512245812,,2009
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,2012,מנורה מבטחים פנסיה - מסלול יעד לפרישה 2025,"מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,608.4,1889.23,1416.91,136.08,7606.72,,0.8,10.01,0.42,0.45,16.21,31.19,5.14,5.58,0.91,1.44,דווח,1.44,0.15,0.22,-0.07,0.07,0.24,0.92,-1.03,-1,0.88,79,,,-0.19,2023,-0.22,0.85,512245812,,2012
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,2013,מנורה מבטחים פנסיה - מסלול יעד לפרישה 2030,"מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,604.9,506.6,725.61,823.91,8605.51,,0.84,10.6,0.47,0.53,18.26,37.71,5.75,6.61,1.01,1.64,דווח,1.8,0.19,0.22,-0.14,0.06,0.29,0.92,-0.84,-0.8,0.96,79.6,,,-0.19,2023,-0.22,0.91,512245812,,2013
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,2014,מנורה מבטחים פנסיה - מסלול יעד לפרישה 2035,"מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,857.74,437.26,515.37,935.85,11890.66,,1.02,12.92,0.52,0.59,20.68,42.26,6.47,7.3,1.35,1.93,דווח,1.92,0.25,0.19,-0.13,0.03,0.36,0.93,-0.63,-0.55,0.95,79.8,,,-0.19,2023,-0.22,1.16,512245812,,2014
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,2015,מנורה מבטחים פנסיה - מסלול יעד לפרישה 2040,"מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,1211.73,576.94,346.56,981.35,16164.85,,1.1,14.06,0.55,0.64,21.78,46.52,6.79,7.94,1.48,2.1,דווח,2.16,0.29,0.14,-0.14,0.05,0.39,0.93,0.01,0.08,0.97,78.7,,,-0.19,2023,-0.22,1.25,512245812,,2015
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,2016,מנורה מבטחים פנסיה - מסלול יעד לפרישה 2045,"מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,1398.35,592.36,81.58,887.57,16111.76,,1.14,14.61,0.58,0.66,23.23,48.35,7.21,8.21,1.58,2.2,דווח,2.16,0.31,0.13,-0.15,0.05,0.41,0.93,0.35,0.41,0.97,81.3,,,-0.19,2023,-0.22,1.32,512245812,,2016
₪ כל הסכומים במיליוני,כל התשואות הינן פיננסיות נומינליות ברוטו,תשואת קרן פנסיה לא מוצגת החל מינואר 2017,2063,מנורה מבטחים פנסיה - מסלול מניות,"מנורה מבטחים פנסיה וגמל בע""מ",19/12/2024,קרנות חדשות,"מנורה מבטחים החזקות בע""מ",קבוצות ביטוח,202312,202411,434.94,128.17,252.78,559.55,5206.1,,1.56,20.39,0.67,0.75,27.12,56.83,8.33,9.42,2.42,3.12,דווח,1.68,0.48,0.07,-0.14,0.03,0.57,0.92,0.6,0.62,0.87,90.5,,,-0.19,2023,-0.22,1.87,512245812,,2063
